OBJECTID_1,TransitRouteID,TransitRoute,OperRtNM,Notes,Origin,ONode,Destination,DNode,Mode,Direction,Operator,Headway,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June
527,FT60,3351,60,,Transit Center,42538,Transit Center,42540,Other Primary - Express Bus,2,TransIT,30,53,Peak,175,185,229,217,194,179,162,197,180,204,188,180
528,RO17I,3352,17,,BONIFANT ST & BAY R,22863,LEBANON ST & UNIVERSITY BLVD,26017,Other Primary - Local Bus,2,Ride On Bus,25,25,Off-Peak,1125,1275,1200,1225,1209,1100,1050,1044,1108,1238,1180,1186
529,RO18AI,3353,18,,DIXON AVE & BAY M,22863,LEBANON ST & UNIVERSITY BLVD,26003,Other Primary - Local Bus,2,Ride On Bus,30,34,Off-Peak,817,850,800,775,800,800,750,714,725,775,705,675
530,RO18AO,3354,18,,LEBANON ST & UNIVERSITY BLVD,26017,DIXON AVE & BAY N,22863,Other Primary - Local Bus,2,Ride On Bus,30,35,Off-Peak,817,850,800,775,800,800,750,714,725,775,705,675
531,FT60,3351,60,,Transit Center,42538,Transit Center,42540,Other Primary - Express Bus,2,TransIT,30,53,Peak,175,185,229,217,194,179,162,197,180,204,188,180
532,FT65,3356,65,,Transit Center,42538,Transit Center,42540,Other Primary - Express Bus,2,TransIT,60,70,Peak,187,171,195,182,155,157,143,135,152,161,169,157
533,FT20LI,3357,20,,MARC - FREDERICK,42370,FRANCIS SCOTT KEY MALL AT SOUTH ENTRANCE,42295,Other Primary - Express Bus,2,TransIT,50,29,Off-Peak,391,377,373,368,336,345,286,303,294,327,334,340
534,WMW09O,3358,W9,,7TH ST & D ST SW,20046,SOUTHERN AVE & SOUTH CAPITOL ST,20846,Local Metrobus,2,Metro Bus,30,34,Peak,179,144,176,181,163,140,181,172,174,158,156,187
535,WMM04N,3359,M4,,LOUGHBORO RD NW & SIBLEY HOSPITAL,20677,NW FORT DR & NW ALBEMARLE ST -TENLEYTOWN,20718,Local Metrobus,2,Metro Bus,30,13,Off-Peak,767,803,1098,1074,1010,862,1003,998,1130,987,1080,970
536,WMM04N,3359,M4,,LOUGHBORO RD NW & SIBLEY HOSPITAL,20677,NW FORT DR & NW ALBEMARLE ST -TENLEYTOWN,20718,Local Metrobus,2,Metro Bus,30,13,Off-Peak,767,803,1098,1074,1010,862,1003,998,1130,987,1080,970
537,WMK09I,3361,K9,,MAHAN RD & NEW HAMPSHIRE AVE,23378,FT TOTTEN STATION & BUS BAY A,21106,Local Metrobus,2,Metro Bus,15,26,Peak,1072,1107,1223,1161,1104,992,965,1041,1089,1227,1236,1267
538,WMK09O,3362,K9,,FT TOTTEN STATION & BUS BAY A,21106,MAHAN RD & NEW HAMPSHIRE AVE,23378,Local Metrobus,2,Metro Bus,15,27,Peak,1072,1107,1223,1161,1104,992,965,1041,1089,1227,1236,1267
539,WM02AO,3343,2A,,BALLSTON STATION & BUS BAY D,30093,DUNN LORING STATION & TEMP BAY E,35918,Local Metrobus,2,Metro Bus,27,36,Off-Peak,2648,2632,2745,2671,2468,2255,2277,2456,2561,2676,2675,2692
540,MT620AO,3364,620,,C ST & 21 ST NW fs eb,20228,US 301 P & R & SMALLWOOD DR,47062,Maryland Commuter Bus,2,MTA,60,76,Off-Peak,840,843,906,873,805,664,729,764,787,765,830,819
541,ANNBRNI,3336,,Not collected,EASTPORT PLAZA,45876,WESTFIELD MALL,45584,Other Primary - Express Bus,2,Annapolis,30,38,Peak,,,,,,,,,,,,
542,MT505AI,3366,505,,HAGERSTOWN & MVA,42153,FERNWOOD RD & ROCK SPRING DR nb,22005,Maryland Commuter Bus,2,MTA,60,97,Peak,,,,,463,366,366,405,407,417,425,409
543,WME02O,3123,E2,,FRIENDSHIP HTS STA & BUS BAY J,22864,NEW YORK AVE NE & BET FENWICK ST &,20415,Local Metrobus,2,Metro Bus,20,54,Peak,3498,3498,4155,4012,3817,3435,3566,3703,4026,3995,4108,2977
544,WM02BO,3316,2B,"WMATA began reporting 02B separately beginning Dec 13, previously grouped 2A,B,C,G",DUNN LORING STATION & TEMP BAY D,35918,ALLIANCE DR & #4975,34681,Local Metrobus,2,Metro Bus,60,51,Off-Peak,1025,1026,1132,1062,948,882,936,925,947,978,1055,1003
545,WM03A#I,3369,3A,,E FALLS CHURCH STA & BUS BAY D,30064,N MOORE ST & ROSSLYN STATION BUS BA,30120,Local Metrobus,2,Metro Bus,20,28,Peak,2422,2254,2365,2339,2148,1977,2083,2164,2297,2347,2257,2256
546,WM03A#I,3369,3A,,E FALLS CHURCH STA & BUS BAY D,30064,N MOORE ST & ROSSLYN STATION BUS BA,30120,Local Metrobus,2,Metro Bus,20,28,Peak,2422,2254,2365,2339,2148,1977,2083,2164,2297,2347,2257,2256
547,WM03A#O,3371,3A,,N MOORE ST & ROSSLYN STATION BUS BA,30120,E FALLS CHURCH STA & BUS BAY C,30064,Local Metrobus,2,Metro Bus,30,26,Peak,2422,2254,2365,2339,2148,1977,2083,2164,2297,2347,2257,2256
548,WM03A#O,3371,3A,,N MOORE ST & ROSSLYN STATION BUS BA,30120,E FALLS CHURCH STA & BUS BAY C,30064,Local Metrobus,2,Metro Bus,30,26,Peak,2422,2254,2365,2339,2148,1977,2083,2164,2297,2347,2257,2256
549,ANNBRNO,3341,,Not collected,WESTFIELD MALL,45584,EASTPORT PLAZA,45876,Other Primary - Express Bus,2,Annapolis,30,36,Off-Peak,,,,,,,,,,,,
550,WM28XI1O,3374,28X,,TYSONS CORNER S/C & BUS STOP 1,34444,MARK CENTER STATION BUS BAY 2,32252,Local Metrobus,2,Metro Bus,15,56,Peak,1236,1111,1143,1176,1089,1001,922,915,977,969,945,925
551,WMH09,3375,"H8,9",,RHODE ISLAND AVE STA & BUS BAY E,21012,CARROLL H S RDWY & FRONT OF SCHOOL,21119,Local Metrobus,2,Metro Bus,30,17,Peak,3916,3766,4106,4005,3825,3567,3585,3875,4012,4078,4481,4230
552,WMW01O,3392,W1,,SOUTHERN AVE STATION & BUS BAY Q,20888,"TERMINAL;SW IRVINGTON ST & SW JOLIET ST",20845,Local Metrobus,2,Metro Bus,20,33,Peak,826,826,1331,1307,1255,1068,1118,1138,1197,980,1086,999
553,FT51,3320,51,,Transit Center,42538,Transit Center,42540,Other Primary - Express Bus,2,TransIT,30,55,Peak,373,360,364,356,315,309,284,297,302,328,330,331
554,FT51BI,3378,51,,Baughman:s Lane @ Carroll Park Manor,42327,Transit Center (downtown Frederick MARC Train Stat,42540,Other Primary - Express Bus,2,TransIT,60,40,Off-Peak,373,360,364,356,315,309,284,297,302,328,330,331
555,FT61,3379,61,,Transit Center,42538,Transit Center,42540,Other Primary - Express Bus,2,TransIT,60,50,Peak,185,192,204,186,177,154,149,171,155,177,169,158
556,FT61,3379,61,,Transit Center,42538,Transit Center,42540,Other Primary - Express Bus,2,TransIT,60,50,Peak,185,192,204,186,177,154,149,171,155,177,169,158
557,LCC412/414,3381,Purcellville-DC,,LEESBURG PARK & RIDE,38657,NW H ST & NW 4TH ST,20273,Other Primary - Express Bus,2,Loudoun County Commuter Bus,30,91,Peak,4696,4070,4536,4394,3951,3462,3743,3885,3840,4095,4070,4148
558,LCC252,3382,Purcellville-DC,,BRAMBLETON PARK & RIDE,38716,H ST & 4TH ST,20277,Other Primary - Express Bus,2,Loudoun County Commuter Bus,60,90,Peak,4696,4070,4536,4394,3951,3462,3743,3885,3840,4095,4070,4148
559,ANNYEL,3319,,Not collected,WESTFIELD MALL,45808,WESTFIELD MALL,45584,Other Primary - Express Bus,2,Annapolis,30,24,Off-Peak,,,,,,,,,,,,
560,MT315AO,3384,315,,M ST & 8/9TH STS mid eb,21286,COLUMBIA MALL & RING RD wb,44118,Maryland Commuter Bus,2,MTA,60,104,Off-Peak,,,590,579,550,454,523,574,559,592,600,570
561,MT250I,3385,250,,KENT NARROWS P & R,45602,N CAPITOL ST & H ST nb,20276,Maryland Commuter Bus,2,MTA,20,101,Peak,,,301,298,289,235,264,292,298,298,308,299
562,MT230AI,3386,230,,ROWE BLVD & TAYLOR AVE sb,45569,N CAPITOL ST & H ST nb,20276,Maryland Commuter Bus,2,MTA,30,86,Peak,,,622,615,600,488,549,601,606,625,649,637
563,MT325BI,3387,325,,HARPER:S FARM RD & CEDAR LA eb,44251,INDEPENDENCE AVE & 1ST ST SE eb,20197,Maryland Commuter Bus,2,MTA,30,100,Peak,,,325,329,311,246,290,311,303,304,328,325
564,MT305O,3388,305,,INDEPENDENCE AVE & 1ST ST SE wb,20197,COLUMBIA MALL & RING RD wb,44159,Maryland Commuter Bus,2,MTA,60,107,Off-Peak,,,731,746,732,558,597,690,705,690,720,724
565,MT240I,3389,240,,KENT NARROWS P & R,45602,C ST & 21 ST NW fs eb,20228,Maryland Commuter Bus,2,MTA,30,96,Peak,,,312,312,300,243,256,282,287,280,287,273
566,RO20O,3443,20,,BONIFANT ST & BAY Z (IOS),22863,POWDER MILL RD & NEW HAMPSHIRE,22547,Other Primary - Local Bus,2,Ride On Bus,17,34,Off-Peak,2972,3125,3125,3100,3125,2900,2850,2725,2800,2934,2981,2991
567,RO26O,3444,26,,WESTFIELD SHOPPING CENTER & MO,22317,GLENMONT STATION & BAY B,22580,Other Primary - Local Bus,2,Ride On Bus,30,64,Off-Peak,3179,3100,3075,3208,3080,2926,2775,2700,2750,2816,3209,3145
568,RO28,3282,28,,RAMSEY AVE & BAY A (IOS),22863,RAMSEY AVE & BAY A (IOS),22172,Other Primary - Local Bus,2,Ride On Bus,8,19,Peak,575,550,550,550,550,500,550,575,575,600,600,600
569,RO34BI,3446,34,,WHEATON STATION & BAY K,22595,FRIENDSHIP HEIGHTS STATION & B,22864,Other Primary - Local Bus,2,Ride On Bus,30,44,Off-Peak,2715,2725,2600,2948,2717,2564,2425,2325,2400,2400,2712,2577
570,RO64O,3272,64,,SHADY GROVE STATION & BAY C -,22395,CLUB HOUSE RD & MONTGOMERY VIL,22437,Other Primary - Local Bus,2,Ride On Bus,30,32,Peak,1571,1450,1649,1730,1533,1407,1325,1250,1300,1300,1478,1300
571,RO36I,3448,36,,BRADLEY BLV & CONGRESSIONAL CT,22200,BETHESDA STATION & BAY D,22048,Other Primary - Local Bus,2,Ride On Bus,30,22,Off-Peak,375,400,520,518,471,449,572,589,577,662,512,506
572,RO63I,3270,63,,SHADY GROVE STATION & BAY A -,22395,ROCKVILLE STATION & BAY E - WE,22351,Other Primary - Local Bus,2,Ride On Bus,30,32,Peak,625,720,676,607,625,600,678,675,785,994,700,638
573,RO43BI,3450,43,,SHADY GROVE STATION & BAY C -,22395,TRAVILLE GATEWAY DR & TRANSIT,22248,Other Primary - Local Bus,2,Ride On Bus,30,24,Off-Peak,683,763,711,755,684,646,633,674,731,760,600,618
574,RO43BO,3451,43,,TRAVILLE GATEWAY DR & TRANSIT,22248,SHADY GROVE STATION & BAY D -,22395,Other Primary - Local Bus,2,Ride On Bus,30,23,Off-Peak,683,763,711,755,684,646,633,674,731,760,600,618
575,RO47I,3284,47,,ROCKVILLE STATION & BAY F - WE,22351,BETHESDA STATION & BAY E,22048,Other Primary - Local Bus,2,Ride On Bus,20,49,Peak,1799,1650,1625,1600,1550,1525,1475,1400,1450,1450,1457,1418
576,RO48O,3288,48,,WHEATON STATION & BAY J,22595,ROCKVILLE STATION & BAY B - EA,22370,Other Primary - Local Bus,2,Ride On Bus,20,35,Peak,2175,2229,2369,2212,2069,1900,1850,1898,1964,2145,2113,2076
577,RO49I,3290,49,,ROCKVILLE STATION & BAY B - EA,22351,GLENMONT STATION & BAY B,22580,Other Primary - Local Bus,2,Ride On Bus,20,30,Peak,2245,2369,2673,2664,2443,2079,2050,2238,2315,2498,2100,2100
578,RO54BO,3296,54,,ROCKVILLE STATION & BAY E - WE,22351,LAKEFOREST TRANSIT CENTER & OD,22161,Other Primary - Local Bus,2,Ride On Bus,20,42,Peak,2054,2072,1975,1988,1925,1875,1825,1725,1775,1814,1895,2145
579,RO57O,3260,57,,SHADY GROVE STATION & BAY A -,22395,LAKEFOREST TRANSIT CENTER & OD,22161,Other Primary - Local Bus,2,Ride On Bus,30,33,Peak,2185,2401,2671,2539,2363,2259,2025,1950,2025,2025,2000,2062
580,RO58O,3263,58,,SHADY GROVE STATION & BAY C -,22395,WATKINS MILL RD & FREDERICK AV,22441,Other Primary - Local Bus,2,Ride On Bus,30,35,Peak,1300,1375,1359,1359,1298,1180,1184,1224,1310,1376,1395,1429
581,RO59AO,3278,59,,ROCKVILLE STATION & BAY C - EA,22351,CLUB HOUSE RD & MONTGOMERY VIL,22437,Other Primary - Local Bus,2,Ride On Bus,30,54,Peak,3884,3965,4171,4279,3793,3662,3500,3400,3568,3886,3975,3839
582,RO61BI,3267,61,,GERMANTOWN TRANSIT CENTER & BA,22128,SHADY GROVE STATION & BAY C -,22395,Other Primary - Local Bus,2,Ride On Bus,20,53,Peak,2925,2986,3136,3052,2833,2676,2550,2475,2614,2900,2648,2676
583,RO79I,3460,79,,CLARKSBURG RD & GATEWAY CENTER,22656,SHADY GROVE STATION & BAY C -,22395,Other Primary - Local Bus,2,Ride On Bus,30,44,Peak,275,300,316,332,318,277,250,223,286,240,312,300
584,RO34BO,3461,34,,FRIENDSHIP HEIGHTS STATION & B,22864,WHEATON STATION & BAY K,22595,Other Primary - Local Bus,2,Ride On Bus,27,48,Off-Peak,2715,2725,2600,2948,2717,2564,2425,2325,2400,2400,2712,2577
585,RO36I,3448,36,,BRADLEY BLV & CONGRESSIONAL CT,22200,BETHESDA STATION & BAY D,22048,Other Primary - Local Bus,2,Ride On Bus,30,22,Off-Peak,375,400,520,518,471,449,572,589,577,662,512,506
586,RO23I,3463,23,,FRIENDSHIP HEIGHTS STATION & B,22864,LOUGHBORO RD & SIBLEY HOSPITAL,20680,Other Primary - Local Bus,2,Ride On Bus,30,21,Off-Peak,797,768,725,878,785,738,650,578,650,650,625,625
587,RO23O,3464,23,,LOUGHBORO RD & SIBLEY HOSPITAL,20680,FRIENDSHIP HEIGHTS STATION & B,22864,Other Primary - Local Bus,2,Ride On Bus,30,25,Off-Peak,797,768,725,878,785,738,650,578,650,650,625,625
588,RO29,3465,29,,BETHESDA STATION & BAY E,22048,FRIENDSHIP HEIGHTS STATION & B,22864,Other Primary - Local Bus,2,Ride On Bus,30,30,Off-Peak,684,675,625,708,650,625,673,697,675,677,795,790
589,RO30AI,3466,30,,MEDICAL CENTER STATION & BAY E,22054,BETHESDA STATION & BAY E,22048,Other Primary - Local Bus,2,Ride On Bus,30,34,Peak,842,787,700,727,678,650,626,532,654,663,706,745
590,RO30AI,3466,30,,MEDICAL CENTER STATION & BAY E,22054,BETHESDA STATION & BAY E,22048,Other Primary - Local Bus,2,Ride On Bus,30,34,Peak,842,787,700,727,678,650,626,532,654,663,706,745
591,RO30O,3468,30,,BETHESDA STATION & BAY E,22048,MEDICAL CENTER STATION & BAY E,22054,Other Primary - Local Bus,2,Ride On Bus,30,27,Off-Peak,842,787,700,727,678,650,626,532,654,663,706,745
592,RO31,3469,31,,GLENMONT STATION & BAY B,22580,WHEATON STATION & BAY H,22595,Other Primary - Local Bus,2,Ride On Bus,30,20,Peak,99,100,100,85,75,75,78,87,97,109,116,104
593,RO32BI,3470,32,,BETHESDA STATION & BAY E,22048,CARDEROCK NAVAL WARFARE CENTER,22193,Other Primary - Local Bus,2,Ride On Bus,30,24,Peak,287,270,225,239,228,225,259,242,256,243,277,289
594,RO32O,3471,32,,CARDEROCK NAVAL WARFARE CENTER,22193,BETHESDA STATION & BAY D,22048,Other Primary - Local Bus,2,Ride On Bus,30,27,Peak,287,270,225,239,228,225,259,242,256,243,277,289
595,RO34BI,3446,34,,WHEATON STATION & BAY K,22595,FRIENDSHIP HEIGHTS STATION & B,22864,Other Primary - Local Bus,2,Ride On Bus,30,44,Off-Peak,2715,2725,2600,2948,2717,2564,2425,2325,2400,2400,2712,2577
596,RO17I,3352,17,,BONIFANT ST & BAY R,22863,LEBANON ST & UNIVERSITY BLVD,26017,Other Primary - Local Bus,2,Ride On Bus,25,25,Off-Peak,1125,1275,1200,1225,1209,1100,1050,1044,1108,1238,1180,1186
597,RO36,3474,36,,BETHESDA STATION & BAY E,22048,BRADLEY BLV & CONGRESSIONAL CT,22200,Other Primary - Local Bus,2,Ride On Bus,30,24,Off-Peak,375,400,520,518,471,449,572,589,577,662,512,506
598,RO98BO,3229,98,,GERMANTOWN TRANSIT CENTER & BA,22128,CLOPPER RD & KINGSVIEW PARK &,23214,Other Primary - Local Bus,1,Ride On Bus,30,33,Off-Peak,433,425,438,561,551,465,412,449,447,469,440,375
599,RO37AI,3476,37,,FALLS RD & &11315 (PCC),23252,GROSVENOR STATION & BAY J,22327,Other Primary - Local Bus,2,Ride On Bus,30,28,Peak,321,316,291,359,301,283,225,206,225,225,229,223
600,RO37O,3477,37,,WHEATON STATION & BAY J,22595,FALLS RD & &11315 (PCC),23252,Other Primary - Local Bus,2,Ride On Bus,30,44,Peak,321,316,291,359,301,283,225,206,225,225,229,223
601,RO38I,3478,38,,WHEATON STATION & BAY J,22595,MARINELLI RD & ROCKVILLE PIKE,22670,Other Primary - Local Bus,2,Ride On Bus,30,25,Off-Peak,966,975,925,875,850,850,800,700,775,816,770,725
602,RO38I,3478,38,,WHEATON STATION & BAY J,22595,MARINELLI RD & ROCKVILLE PIKE,22670,Other Primary - Local Bus,2,Ride On Bus,30,25,Off-Peak,966,975,925,875,850,850,800,700,775,816,770,725
603,RO38O,3438,38,,MARINELLI RD & ROCKVILLE PIKE,22670,WHEATON STATION & BAY H,22595,Other Primary - Local Bus,2,Ride On Bus,30,27,Off-Peak,966,975,925,875,850,850,800,700,775,816,770,725
604,RO39AO,3481,39,,GLENMONT STATION & BAY C,22580,GATESHEAD MANOR WAY & BRIGGS C,22663,Other Primary - Local Bus,2,Ride On Bus,30,29,Peak,216,225,200,261,239,208,268,278,314,347,331,298
605,RO39I,3482,39,,GATESHEAD MANOR WAY & BRIGGS C,22663,GLENMONT STATION & BAY B,22580,Other Primary - Local Bus,2,Ride On Bus,30,28,Peak,216,225,200,261,239,208,268,278,314,347,331,298
606,F551W,3893,551,,WIEHLE-RESTON EAST TRANSIT CTR,35658,PNR HERNDON MONROE BAY E,35655,Other Primary - Local Bus,2,Fairfax Connector,15,23,Peak,532,524,546,586,533,529,513,503,538,595,652,769
607,F402,3894,402,,CHAIN BRIDGE & TYSONS,36025,METRO FRANCONIA SPRINGFIELD BA,35247,Other Primary - Local Bus,2,Fairfax Connector,15,75,Peak,1759,1593,1650,1673,1374,1261,1200,1302,1433,1623,1780,1868
608,F395C,3895,395,,PNR GAMBRILL,35248,METRO PENTAGON,30206,Other Primary - Local Bus,2,Fairfax Connector,20,36,Peak,436,485,531,541,490,424,544,512,494,513,457,440
609,F574E,3896,574,,RESTON TOWN CTR TRANSIT STATIO,34621,SPRING HILL METRO WB BAY,35132,Other Primary - Local Bus,2,Fairfax Connector,38,30,Off-Peak,240,363,369,369,307,298,278,283,300,316,311,338
610,F574E,3896,574,,RESTON TOWN CTR TRANSIT STATIO,34621,SPRING HILL METRO WB BAY,35132,Other Primary - Local Bus,2,Fairfax Connector,38,30,Off-Peak,240,363,369,369,307,298,278,283,300,316,311,338
611,F574W,3898,574,,SPRING HILL METRO WB BAY,35132,RESTON TOWN CTR TRANSIT STATIO,34621,Other Primary - Local Bus,2,Fairfax Connector,30,26,Peak,240,363,369,369,307,298,278,283,300,316,311,338
612,F574W,3898,574,,SPRING HILL METRO WB BAY,35132,RESTON TOWN CTR TRANSIT STATIO,34621,Other Primary - Local Bus,2,Fairfax Connector,30,26,Peak,240,363,369,369,307,298,278,283,300,316,311,338
613,F721W#,3900,721,,LANGLEY SHOPPING CTR.,35981,TYSONS CORNER CTR,36005,Other Primary - Local Bus,2,Fairfax Connector,33,23,Off-Peak,147,178,177,185,169,160,147,135,161,163,167,180
614,F721W,3901,721,,LANGLEY SHOPPING CTR.,35981,COLSHIRE & DOLLY MADISON,35300,Other Primary - Local Bus,2,Fairfax Connector,60,13,Off-Peak,147,178,177,185,169,160,147,135,161,163,167,180
615,F605N,3902,605,,GOVERNMENT CENTER PW & FORUM,34360,BLUEMONT & PRESIDENTS,34621,Other Primary - Local Bus,2,Fairfax Connector,60,56,Peak,394,408,397,406,369,345,322,321,354,386,386,408
616,F605S,3903,605,,BLUEMONT & RESTON,34621,GOVERNMENT CENTER & POST FORES,34360,Other Primary - Local Bus,2,Fairfax Connector,60,50,Peak,394,408,397,406,369,345,322,321,354,386,386,408
617,F310E,3904,310,,PNR ROLLING VALLEY  BAY C,34257,METRO HUNTINGTON N BAY E,34154,Other Primary - Local Bus,2,Fairfax Connector,20,61,Peak,1736,1776,1795,1788,1553,1494,1332,1342,1497,1675,1663,1667
618,F605S,3903,605,,BLUEMONT & RESTON,34621,GOVERNMENT CENTER & POST FORES,34360,Other Primary - Local Bus,2,Fairfax Connector,60,50,Peak,394,408,397,406,369,345,322,321,354,386,386,408
619,F493FS,3868,493,,GALLERIA & TYSONS,34451,VRE LORTON STATION BAY A,34931,Other Primary - Express Bus,2,Fairfax Connector,60,41,Off-Peak,51,58,63,63,61,64,71,68,59,67,42,0
620,F493FN,3869,493,,VRE LORTON STATION BAY A,34931,WESTPARK & JONES BRANCH,34425,Other Primary - Express Bus,2,Fairfax Connector,60,49,Off-Peak,51,58,63,63,61,64,71,68,59,67,42,0
621,F495FS,3870,495,,GALLERIA & TYSONS,34451,BURKE CENTRE VRE,36247,Other Primary - Express Bus,2,Fairfax Connector,60,44,Off-Peak,47,41,54,60,49,36,36,33,39,43,42,59
622,F495FN,3871,495,,BURKE CENTRE VRE,34404,WESTPARK & JONES BRANCH,34425,Other Primary - Express Bus,2,Fairfax Connector,60,44,Off-Peak,47,41,54,60,49,36,36,33,39,43,42,59
623,F494FN,3872,494,,METRO FRANCONIA SPRINGFIELD BA,35247,TYSONS WESTPARK TRANSIT STN BA,34585,Other Primary - Express Bus,2,Fairfax Connector,20,31,Peak,88,69,79,79,76,70,74,68,64,71,106,151
624,F494FS,3873,494,,TYSONS WESTPARK TRANSIT STN BA,35950,METRO FRANCONIA SPRINGFIELD BA,35247,Other Primary - Express Bus,2,Fairfax Connector,60,27,Off-Peak,88,69,79,79,76,70,74,68,64,71,106,151
625,F306N,3874,306,,UNIVERSITY & POHICK,34364,METRO PENTAGON,30206,Express Metrobus,2,Fairfax Connector,60,44,Off-Peak,183,148,168,146,150,129,118,133,135,150,150,152
626,F101N,3875,101,,MOUNT VERNON ESTATE,34157,METRO HUNTINGTON N BAY E,34154,Other Primary - Local Bus,2,Fairfax Connector,33,28,Off-Peak,661,613,564,592,538,478,452,448,573,595,558,639
627,F101N,3875,101,,MOUNT VERNON ESTATE,34157,METRO HUNTINGTON N BAY E,34154,Other Primary - Local Bus,2,Fairfax Connector,33,28,Off-Peak,661,613,564,592,538,478,452,448,573,595,558,639
628,F101S,3877,101,,METRO HUNTINGTON N BAY E,34154,MOUNT VERNON ESTATE,34157,Other Primary - Local Bus,2,Fairfax Connector,33,25,Off-Peak,661,613,564,592,538,478,452,448,573,595,558,639
629,F101S,3877,101,,METRO HUNTINGTON N BAY E,34154,MOUNT VERNON ESTATE,34157,Other Primary - Local Bus,2,Fairfax Connector,33,25,Off-Peak,661,613,564,592,538,478,452,448,573,595,558,639
630,F109E,3879,109,,METRO VAN DORN BAY D,34022,METRO HUNTINGTON N BAY D,34154,Other Primary - Local Bus,2,Fairfax Connector,30,25,Peak,503,520,569,578,503,463,415,409,491,538,552,503
631,F109E,3879,109,,METRO VAN DORN BAY D,34022,METRO HUNTINGTON N BAY D,34154,Other Primary - Local Bus,2,Fairfax Connector,30,25,Peak,503,520,569,578,503,463,415,409,491,538,552,503
632,F109W,3881,109,,METRO HUNTINGTON N BAY D,34154,METRO VAN DORN BAY D,34022,Other Primary - Local Bus,2,Fairfax Connector,30,34,Peak,503,520,569,578,503,463,415,409,491,538,552,503
633,F109W,3881,109,,METRO HUNTINGTON N BAY D,34154,METRO VAN DORN BAY D,34022,Other Primary - Local Bus,2,Fairfax Connector,30,34,Peak,503,520,569,578,503,463,415,409,491,538,552,503
634,F171S,3883,171,,METRO HUNTINGTON N BAY A,34154,VRE LORTON STATION BAY A,34224,Other Primary - Local Bus,2,Fairfax Connector,20,61,Peak,3154,3266,3171,3114,2929,2842,2628,2604,2810,3052,3047,3036
635,F159,3884,159,,METRO HUNTINGTON S BAY B,34154,SACRAMENTO & RICHMOND HY,34275,Other Primary - Local Bus,2,Fairfax Connector,60,37,Off-Peak,513,521,506,503,427,470,422,432,476,487,508,519
636,F159I,3885,159,,SACRAMENTO & RICHMOND HY,34275,METRO HUNTINGTON S BAY B,34154,Other Primary - Local Bus,2,Fairfax Connector,20,33,Peak,513,521,506,503,427,470,422,432,476,487,508,519
637,F306S,3886,306,,METRO PENTAGON,30359,UNIVERSITY & POHICK,34366,Express Metrobus,2,Fairfax Connector,60,46,Off-Peak,183,148,168,146,150,129,118,133,135,150,150,152
638,F162CC,3887,162,,METRO HUNTINGTON S BAY D,34154,METRO HUNTINGTON S BAY D,34154,Other Primary - Local Bus,2,Fairfax Connector,30,43,Peak,440,475,462,438,385,364,359,366,414,412,402,429
639,F161C,3888,161,,METRO HUNTINGTON S BAY D,34154,METRO HUNTINGTON S BAY D,34154,Other Primary - Local Bus,2,Fairfax Connector,60,46,Off-Peak,502,497,496,515,466,480,417,426,447,488,505,468
640,F462E,3889,462,,CHAIN BRIDGE & TYSONS,35918,METRO DUNN LORING BAY G,34444,Other Primary - Local Bus,2,Fairfax Connector,30,33,Peak,39,72,84,84,74,72,85,87,88,93,86,92
641,F466L,3890,466,,METRO VIENNA/GMU S BAY P,35062,METRO VIENNA/GMU S BAY P,34688,Other Primary - Local Bus,2,Fairfax Connector,30,29,Peak,189,172,193,183,169,151,164,173,161,159,159,162
642,F505W,3891,505,,WIEHLE-RESTON EAST TRANSIT CTR,35658,RESTON TOWN CTR TRANSIT STATIO,35651,Other Primary - Local Bus,2,Fairfax Connector,23,8,Off-Peak,1053,483,455,448,401,400,398,398,433,469,462,579
643,F551E,3892,551,,PNR HERNDON MONROE BAY E,35655,WIEHLE-RESTON EAST TRANSIT CTR,35658,Other Primary - Local Bus,2,Fairfax Connector,15,25,Peak,532,524,546,586,533,529,513,503,538,595,652,769
644,CCPF2L,3998,,Not collected,Calvert Pine Senior Ctr,49017,Calvert Pine Senior Ctr,49018,Other Primary - Express Bus,2,Calvert County Bus,60,37,Off-Peak,,,,,,,,,,,,
645,CCDUNK,3999,,Not collected,Calvert Pines Senior Ctr.,49018,Sunderland P&R Lot,49017,Other Primary - Express Bus,2,Calvert County Bus,60,67,Off-Peak,,,,,,,,,,,,
646,CCDUNKI,4000,,Not collected,Sunderland P&R Lot,49058,Sunderland P&R Lot,49018,Other Primary - Express Bus,2,Calvert County Bus,60,49,Off-Peak,,,,,,,,,,,,
647,CCPFMC,4001,,Not collected,INDUSTRIAL PARK,49018,Calvert Pines Senior Ctr,49080,Other Primary - Express Bus,2,Calvert County Bus,60,75,Off-Peak,,,,,,,,,,,,
648,CCL1I,4002,,Not collected,Little Cove Pt Rd,49031,Southern Pines/Comm Ctr,49034,Other Primary - Express Bus,2,Calvert County Bus,60,59,Peak,,,,,,,,,,,,
649,CCPF2L,3998,,Not collected,Calvert Pine Senior Ctr,49017,Calvert Pine Senior Ctr,49018,Other Primary - Express Bus,2,Calvert County Bus,60,37,Off-Peak,,,,,,,,,,,,
650,CCPF1/,4004,,Not collected,Yardley Hills@ Community Bldg.,49099,Calvert Pine Senior Ctr,49018,Other Primary - Express Bus,2,Calvert County Bus,60,37,Off-Peak,,,,,,,,,,,,
