OBJECTID,TransitRouteID,TransitRoute,OperRtNM,Notes,Headway,Origin,ONode,Destination,DNode,Mode,Operator,Runtime,Period,July,August,September,October,November,December,January,February,March,April,May,June,Direction
1399,MP407511,1384,Penn, ,30,B,9034,UNION,9001,Commuter Rail,MARC,27,Peak,23833,24092,23809,24346,24511,22362,23115,24207,23644,25512,26046,26567,2
1400,RO18AO,1776,18, ,30,LEBANON ST & UNIVERSITY BLVD,26017,SILVER SPRING STATION & BAY N,22863,Other Primary - Local Bus,Ride On Bus,35,Off-Peak,606,700,904,957,846,805,630,871,767,796,692,684,2
1401,RO19I,1386,19, ,30,BRUNETT AVE & FOREST GLEN RD,22633,SILVER SPRING STATION & BAY W,22863,Other Primary - Local Bus,Ride On Bus,31,Peak,153,160,148,184,150,139,135,115,115,126,137,122,2
1402,RO34I,1387,34, ,30,GRAND PRE RD & GRAND BEL MANOR,22382,FRIENDSHIP HEIGHTS STATION & BAY F,22864,Other Primary - Local Bus,Ride On Bus,78,Peak,2615,2601,2841,3150,2921,2817,2614,3150,3039,3213,2907,2909,2
1403,RO36,1369,36, ,30,BETHESDA STATION & BAY E,22048,BRADLEY BLV & CONGRESSIONAL CT,22200,Other Primary - Local Bus,Ride On Bus,24,Off-Peak,371,333,341,343,374,330,417,522,467,490,419,452,2
1404,RO63,1108,63, ,60,ROCKVILLE STATION & BAY E - WEST,22351,SHADY GROVE STATION & BAY A - WEST,22397,Other Primary - Local Bus,Ride On Bus,30,Off-Peak,556,514,737,698,673,579,526,652,633,569,727,650,2
1405,RO75A,1042,75, ,30,GERMANTOWN TRANSIT CENTER & BAY B,23079,WHELAN LA & @22880 (MC CORRECTIONAL FACILITY),22128,Other Primary - Local Bus,Ride On Bus,21,Off-Peak,464,327,403,430,426,395,325,415,425,493,582,498,2
1406,RO76A,1044,76, ,30,QUINCE ORCHARD RD & DARNESTOWN RD,22285,SHADY GROVE STATION & BAY C - EAST,22395,Other Primary - Local Bus,Ride On Bus,20,Off-Peak,783,948,935,835,818,776,625,627,650,691,675,675,2
1407,RO83BI,1392,90, ,20,SHAKESPEARE BLV & MILESTONE PARK & RIDE,23198,GERMANTOWN MARC STATION & PARKING LOT,22146,Other Primary - Local Bus,Ride On Bus,25,Peak,940,978,1073,1048,996,839,753,763,750,825,921,934,2
1408,RO97I,1056,97, ,30,GERMANTOWN TRANSIT CENTER & BAY B,23206,GERMANTOWN TRANSIT CENTER & BAY B,22128,Other Primary - Local Bus,Ride On Bus,21,Off-Peak,601,686,575,718,665,668,591,741,715,780,930,873,2
1409,RO20I,1394,20, ,20,POWDER MILL RD & NEW HAMPSHIRE AVE,22547,SILVER SPRING STATION & BAY W,22863,Other Primary - Local Bus,Ride On Bus,33,Off-Peak,3330,3330,3250,3132,2983,2702,2813,3370,3456,3607,3477,3517,2
1410,RO02AO,1395,2, ,30,SILVER SPRING STATION & BAY Z,22863,LYTTONVILLE OPERATIONS CNTR.,22094,Other Primary - Local Bus,Ride On Bus,13,Off-Peak,1002,1012,955,898,914,824,789,806,775,864,822,826,2
1411,RO20O,1338,20, ,17,SILVER SPRING STATION & BAY Z,22863,POWDER MILL RD & NEW HAMPSHIRE AVE,22547,Other Primary - Local Bus,Ride On Bus,34,Off-Peak,3330,3330,3250,3132,2983,2702,2813,3370,3456,3607,3477,3517,2
1412,RO01I,1397,1, ,25,SILVER SPRING STATION & BAY R,22172,FRIENDSHIP HEIGHTS STATION & BAY F,22864,Other Primary - Local Bus,Ride On Bus,26,Off-Peak,1815,1759,2026,3100,2158,3119,2801,2024,2497,1919,2827,2033,2
1413,RO22I,1398,22, ,30,POWDER MILL RD & NEW HAMPSHIRE AVE,22547,SILVER SPRING STATION & BAY N,22863,Other Primary - Local Bus,Ride On Bus,38,Peak,398,436,498,476,463,406,375,400,391,431,425,411,2
1414,RO22O,1399,22, ,20,SILVER SPRING STATION & BAY M,22863,POWDER MILL RD & NEW HAMPSHIRE AVE,22547,Other Primary - Local Bus,Ride On Bus,33,Peak,398,436,498,476,463,406,375,400,391,431,425,411,2
1415,RO23I,1358,23, ,30,FRIENDSHIP HEIGHTS STATION & BAY G,22864,LOUGHBORO RD & SIBLEY HOSPITAL,20680,Other Primary - Local Bus,Ride On Bus,21,Off-Peak,648,648,686,742,731,658,647,689,738,716,841,843,2
1416,RO23O,1359,23, ,30,LOUGHBORO RD & SIBLEY HOSPITAL,20680,FRIENDSHIP HEIGHTS STATION & BAY F,22864,Other Primary - Local Bus,Ride On Bus,25,Off-Peak,648,648,686,742,731,658,647,689,738,716,841,843,2
1417,RO24I,1402,24, ,20,POWDER MILL RD & NEW HAMPSHIRE AVE,22547,TAKOMA STATION & BAY G,20872,Other Primary - Local Bus,Ride On Bus,27,Peak,287,306,309,384,317,342,296,309,276,276,300,310,2
1418,RO25I,1403,25, ,15,LEBANON ST & UNIVERSITY BLVD,26017,TAKOMA STATION & BAY G,20872,Other Primary - Local Bus,Ride On Bus,21,Peak,449,449,432,491,449,425,407,463,461,489,425,475,2
1419,RO26i,1404,26, ,30,GLENMONT STATION & BAY C,22580,WESTFIELD SHOPPING CENTER & MONTGOMERY MALL,22317,Other Primary - Local Bus,Ride On Bus,66,Off-Peak,3142,3312,2966,3242,3094,2926,2808,3074,2946,3253,3287,3224,2
1420,RO26I,1405,26, ,15,GLENMONT STATION & BAY C,22580,WESTFIELD SHOPPING CENTER & MONTGOMERY MALL,22317,Other Primary - Local Bus,Ride On Bus,74,Peak,3142,3312,2966,3242,3094,2926,2808,3074,2946,3253,3287,3224,2
1421,RO26O,1339,26, ,30,WESTFIELD SHOPPING CENTER & MONTGOMERY MALL,22317,GLENMONT STATION & BAY B,22580,Other Primary - Local Bus,Ride On Bus,64,Off-Peak,3142,3312,2966,3242,3094,2926,2808,3074,2946,3253,3287,3224,2
1422,RO29,1360,29, ,30,BETHESDA STATION & BAY E,22048,FRIENDSHIP HEIGHTS STATION & BAY F,22864,Other Primary - Local Bus,Ride On Bus,30,Off-Peak,664,664,625,724,677,625,661,714,650,747,712,714,2
1423,RO45I,1408,45, ,30,FALLSGROVE DR & ROCK REGIONAL TRANS CENTER,22391,TWINBROOK STATION & BAY B - EAST,22344,Other Primary - Local Bus,Ride On Bus,41,Peak,970,970,971,1012,965,925,832,975,924,1040,1058,990,2
1424,RO20I,1394,20, ,20,POWDER MILL RD & NEW HAMPSHIRE AVE,22547,SILVER SPRING STATION & BAY W,22863,Other Primary - Local Bus,Ride On Bus,33,Off-Peak,3330,3330,3250,3132,2983,2702,2813,3370,3456,3607,3477,3517,2
1425,VGRNAL,1410, ,Not collected,60,WALDORF XFER,47062,WALDORF XFER,47104,Other Primary - Express Bus,VANGO,24,Peak,,,,,,,,,,,,,2
1426,RO43BO,1346,43, ,30,TRAVILLE GATEWAY DR & TRANSIT CENTER,22248,SHADY GROVE STATION & BAY D - EAST,22395,Other Primary - Local Bus,Ride On Bus,22,Off-Peak,698,698,992,1100,989,843,709,753,716,794,802,775,2
1427,VBLUA,1412, ,Not collected,60,WALDORF XFER,47104,WALDORF XFER,47062,Other Primary - Express Bus,VANGO,35,Peak,,,,,,,,,,,,,2
1428,VBLUA,1412, ,Not collected,60,WALDORF XFER,47104,WALDORF XFER,47062,Other Primary - Express Bus,VANGO,35,Peak,,,,,,,,,,,,,2
1429,VBLUB,1414, ,Not collected,60,WALDORF XFER,47062,WALDORF XFER,47104,Other Primary - Express Bus,VANGO,47,Peak,,,,,,,,,,,,,2
1430,VBLUB,1414, ,Not collected,60,WALDORF XFER,47062,WALDORF XFER,47104,Other Primary - Express Bus,VANGO,47,Peak,,,,,,,,,,,,,2
1431,VGOLD,1416, ,Not collected,60,WALDORF XFER,47062,MT WOLF RD(FOOD,49641,Other Primary - Express Bus,VANGO,23,Peak,,,,,,,,,,,,,2
1432,VGOLD,1416, ,Not collected,60,WALDORF XFER,47062,MT WOLF RD(FOOD,49641,Other Primary - Express Bus,VANGO,23,Peak,,,,,,,,,,,,,2
1433,VGRAYL,1418, ,Not collected,60,WALDORF XFER,47104,WALDORF XFER,47062,Other Primary - Express Bus,VANGO,42,Peak,,,,,,,,,,,,,2
1434,VGRAYL,1418, ,Not collected,60,WALDORF XFER,47104,WALDORF XFER,47062,Other Primary - Express Bus,VANGO,42,Peak,,,,,,,,,,,,,2
1435,RO45O,1420,45, ,30,TWINBROOK STATION & BAY B - EAST,22344,FALLSGROVE DR & ROCK REGIONAL TRANS CENTER,23237,Other Primary - Local Bus,Ride On Bus,45,Peak,970,970,971,1012,965,925,832,975,924,1040,1058,990,2
1436,VGRNAL,1410, ,Not collected,60,WALDORF XFER,47062,WALDORF XFER,47104,Other Primary - Express Bus,VANGO,24,Peak,,,,,,,,,,,,,2
1437,VBLKI,1422, ,Not collected,60,RT 210 & MARSHALL HALL,47069,LA PLATA XFER,47036,Other Primary - Express Bus,VANGO,26,Peak,,,,,,,,,,,,,2
1438,MBR892,1423,Brunswick, ,60,FREDERICK,9018,UNION,9001,Commuter Rail,MARC,100,Peak,7413,7778,8250,8067,8090,7041,8073,8316,7645,8149,8138,7956,2
1439,VBLKI,1422, ,Not collected,60,RT 210 & MARSHALL HALL,47069,LA PLATA XFER,47036,Other Primary - Express Bus,VANGO,26,Peak,,,,,,,,,,,,,2
1440,VGRNBL,1425, ,Not collected,60,WALDORF XFER,47062,WALDORF XFER,47104,Other Primary - Express Bus,VANGO,17,Off-Peak,,,,,,,,,,,,,2
1441,VGRNBL,1425, ,Not collected,60,WALDORF XFER,47062,WALDORF XFER,47104,Other Primary - Express Bus,VANGO,17,Off-Peak,,,,,,,,,,,,,2
1442,VORGAO,1427, ,Not collected,60,LA PLATA XFER,47036,NANJEMOY COMMUNITY,47091,Other Primary - Express Bus,VANGO,62,Peak,,,,,,,,,,,,,2
1443,VPURN,1428, ,Not collected,60,A,47133,LAPLATA XFER,47036,Other Primary - Express Bus,VANGO,21,Peak,,,,,,,,,,,,,2
1444,VPURS,1429, ,Not collected,60,LAPLATA XFER,47036,RT 301 S & CLIFFTON,47133,Other Primary - Express Bus,VANGO,33,Peak,,,,,,,,,,,,,2
1445,VREDAN,1430, ,Not collected,60,LAPLATA XFER,47036,WALDORF XFER,47062,Other Primary - Express Bus,VANGO,21,Off-Peak,,,,,,,,,,,,,2
1446,VREDAN,1430, ,Not collected,60,LAPLATA XFER,47036,WALDORF XFER,47062,Other Primary - Express Bus,VANGO,21,Off-Peak,,,,,,,,,,,,,2
1447,VREDAS,1432, ,Not collected,60,RT 301 PNR SMALLWOOD,47062,LAPLATA XFER,47036,Other Primary - Express Bus,VANGO,26,Off-Peak,,,,,,,,,,,,,2
1448,VREDBL,1323, ,Not collected,60,LAPLATA XFER PT,47036,LAPLATA XFER PT,47105,Other Primary - Express Bus,VANGO,25,Off-Peak,,,,,,,,,,,,,2
1449,VREEZN,1434, ,Shuttle service from train station to overflow parking lot.,30,ADARE DR,35668, ,34404,Other Primary - Local Bus,VRE Shuttle / Bus,25,Peak,,,,,,,,,,,,,2
1450,VREEZS,1435, ,Shuttle service from train station to overflow parking lot.,30,BURNSIDE LANDING DR,34779, ,34404,Other Primary - Local Bus,VRE Shuttle / Bus,25,Peak,,,,,,,,,,,,,2
1451,MCAM845,1436,Camden, ,60,D,9027,Washington-Union,9001,Commuter Rail,MARC,55,Peak,4248,4272,4354,4388,4434,3591,4362,4507,4251,4451,4354,4441,2
1452,STLTL,1437, ,Not collected,60,Governmental,49526,Point Lookout Road,49609,Other Primary - Express Bus,Saint Mary STS,50,Peak,,,,,,,,,,,,,2
1453,RO17O,1438,17, ,25,LEBANON ST & UNIVERSITY BLVD,26017,SILVER SPRING STATION & BAY T,22863,Other Primary - Local Bus,Ride On Bus,24,Off-Peak,1330,1330,1386,1439,1305,1325,1075,1248,1124,1310,1235,1218,2
1454,RO46I,1439,46, ,15,S CAMPUS DR & CAMPUS DR,22358,MEDICAL CENTER STATION & BAY E,22054,Other Primary - Local Bus,Ride On Bus,51,Off-Peak,3685,3685,4066,4104,3675,3625,3375,3666,3381,3800,3790,3666,2
1455,RO46I,1439,46, ,15,S CAMPUS DR & CAMPUS DR,22358,MEDICAL CENTER STATION & BAY E,22054,Other Primary - Local Bus,Ride On Bus,51,Off-Peak,3685,3685,4066,4104,3675,3625,3375,3666,3381,3800,3790,3666,2
1456,RO46O,1441,46, ,20,MEDICAL CENTER STATION & BAY E,22054,S CAMPUS DR & CAMPUS DR,22358,Other Primary - Local Bus,Ride On Bus,45,Peak,3685,3685,4066,4104,3675,3625,3375,3666,3381,3800,3790,3666,2
1457,RO46O,1441,46, ,20,MEDICAL CENTER STATION & BAY E,22054,S CAMPUS DR & CAMPUS DR,22358,Other Primary - Local Bus,Ride On Bus,45,Peak,3685,3685,4066,4104,3675,3625,3375,3666,3381,3800,3790,3666,2
1458,STCHN,1443, ,Not collected,60,LOVEVILLE,49534,GOLDEN BEACH DR./BUSINESS CTR.,49556,Other Primary - Express Bus,Saint Mary STS,19,Peak,,,,,,,,,,,,,2
1459,STCCO,985, ,Not collected,60,1ST COLONY SHOP.CTR,49521,SOLOMONS SHOP.CTR,49036,Other Primary - Express Bus,Saint Mary STS,40,Off-Peak,,,,,,,,,,,,,2
